peak_x_power,splashtag,peak_mode,peak_rank,peak_season_number,snapshot_count_above_3100,modes_crossed,seasons_crossed,player_id,sendou_id
5006.6,Melon!#3295,Splat Zones,1,5,1164,Clam Blitz;Rainmaker;Splat Zones;Tower Control,14;13;12;11;10;9;8;7;6;5;4;3;2;1,u-qtgromwwot2cvq5hanmm,332849061311021058
3890.7,Ballin！#1352,Splat Zones,3,6,52,Splat Zones,6,u-qnm4rgf2s5bbooshetpm,285613228745162752
3524.2,waddle doo#1072,Splat Zones,22,5,109,Clam Blitz;Splat Zones;Tower Control,14;13;12;11;9;6;5;3,u-qtpmoyyieljlmisvlnmm,queue
3511.9,----------#7111,Tower Control,5,5,279,Clam Blitz;Rainmaker;Splat Zones;Tower Control,14;13;10;9;8;7;6;5,u-qq6c6fqplcu3qdb24mmm,grey
3507.7,grahf#1166,Tower Control,11,7,155,Clam Blitz;Rainmaker;Splat Zones;Tower Control,11;7;6;5,u-a5caahs3npgnneyvlnmm,iiiii
3430.9,SendouQ#2687,Clam Blitz,8,9,10,Clam Blitz,9,u-qdpext43pcu3q33lkmnm,ibp_hiko
3419.5,△_Rαικι!#1943,Splat Zones,17,12,221,Rainmaker;Splat Zones,14;13;12;11;10;9;7;5,u-aw5e752wr46c27vclomm,raiki
3410.9,ゼクロム#2052,Splat Zones,28,13,14,Splat Zones,13,u-ajjttmqwxzbqf2rr2nmm,807466821589663744
3408.6,Karri#2274,Splat Zones,32,11,77,Clam Blitz;Rainmaker;Splat Zones;Tower Control,12;11;10;7;6,u-qdyo5ioxb5zzjtqtvwmm,1050776378171211806
3378.3,SB★Zerσ#7453,Splat Zones,65,5,47,Clam Blitz;Rainmaker;Splat Zones;Tower Control,5,u-a4ifixsyk5ufqgch2nmm,zero
3359.2,あ#1048,Splat Zones,82,5,73,Splat Zones,6;5,u-qafmbhs7xaum5p3h23pm,az_
3349.0,CL phoenix#6375,Splat Zones,34,5,26,Splat Zones,6;5,u-qljpjfnus4hat2fmgnmm,phoenix
3316.4,マリーiochi^^#2286,Splat Zones,108,5,35,Splat Zones,6;5,u-qfp3v3f7thr35fz76nmm,kaisa
3308.9,LετнαιJεff#1129,Splat Zones,73,6,18,Splat Zones;Tower Control,6,u-aja7652wr46c2pt72nmm,enragejeff
3303.4,AR Volty#9216,Splat Zones,50,5,59,Rainmaker;Splat Zones,8;7;5,u-qzpzsxcultmussqvpnmm,volty
3280.8,take kare#2723,Splat Zones,2,14,51,Splat Zones,14;12;9;6,u-adphz5djeix6flctynmm,855150114238234645
3276.4,nex#1886,Rainmaker,21,12,49,Rainmaker;Splat Zones,12;11;5,u-a4yekem22amj2lym7mmm,nex
3272.2,sam#26892,Splat Zones,70,6,26,Splat Zones,11;6;5,u-akyzoyr73kj3bkzeznmm,sam
3266.4,MadameReef#2683,Tower Control,33,5,36,Clam Blitz;Rainmaker;Splat Zones;Tower Control,11;7;5,u-qhkkpfdmm37vhf6uomnm,chinolunar
3253.7,バレルスピナーOTP#1688,Splat Zones,62,12,43,Splat Zones,13;12;8;6;5,u-a7ikoyr73kj3bslianmm,1d0ri
3250.6,mι Basil#2910,Splat Zones,134,6,13,Splat Zones;Tower Control,6;5,u-amrdmarrn6qq45hvlnmm,basil
3248.1,●⌒xenith!#3048,Splat Zones,107,5,17,Splat Zones,13;7;5,u-agbneio7d5tnfnkoynmm,xenith
