rank,rank_label,display_score,username,player_id,last_active
1,XX,98.28319083221143,kou,45232,1751734800
2,XX,89.97968968161778,Grey,123,1755648000
3,XX,85.79161558482794,.q,164,1755648000
4,XX,85.00514775944733,bran,147,1755648000
5,XX,84.53643355190714,Atomic♪,81,1748710800
6,XX,82.53912021978752,soulja,285,1755363600
7,XX,81.42849958130807,Jared,45670,1755648000
8,XX,81.21775622357485,<3 rafe,25,1755648000
9,XX,79.83456713180792,sam,202,1755648000
10,XX,79.24665245998953,KyochaN,101,1755648000
11,XX,77.43917322710394,burt,3128,1755648000
12,XX,76.60690275937789,Gos,279,1755363600
13,XX,76.60534314176513,noah,10293,1755363600
14,XX,73.89789859474521,ice,133,1750611600
15,XX,66.71784113181623,y0shell,439,1752429600
16,XX,64.3082836853516,Volty,32,1752336000
17,XX,63.27651354848278,SSNolan,172,1752944400
18,XX,62.81434795155899,cleff,1105,1748107800
19,XX,61.77262465962393,Shadowind,48,1752944400
20,XX,61.51336290524749,☆ Chara,160,1755363600
21,XX,61.45655094697376,xenith,11517,1753894800
22,XX,61.449011454639646,Basil,126,1752944400
23,XX,61.344583316603995,Omegα,145,1755363600
24,XS+,59.750899342933785,jaysorawk!,193,1755363600
25,XS+,59.20470396636043,Erza,1043,1752429600
26,XS+,57.7548605674133,synapse,112,1752336000
27,XS+,56.66222379472625,Yeti,236,1752966000
28,XS+,56.52969279324018,henlo,2801,1752336000
29,XS+,55.832787754540625,harshi,9403,1755363600
30,XS+,55.33283505841645,Raiki,15916,1755363600
31,XS+,55.0189723803479,OPP STOPPA (datkid),22823,1755363600
32,XS+,54.61882349514499,phoenix,185,1755388800
33,XS+,54.33078118118069,Miky,23381,1753894800
34,XS+,54.21701511075337,Luma Ace,99,1753466400
35,XS+,53.82583378921868,dylan,188,1752019200
36,XS+,53.384426307630385,bab,4275,1752944400
37,XS+,52.47054337802414,Half,451,1747504800
38,XS+,52.02472984780706,obito_no1,134,1750611600
39,XS+,51.603026695515844,PKfuzzy,240,1743872400
40,XS+,50.9461351233669,Aaron,8852,1755363600
41,XS+,50.63703692432535,lexi,23016,1752336000
42,XS+,50.050919901827825,Devin4K,27515,1753466400
43,XS+,49.957701955139996,らぐぅ,45965,1740852000
44,XS+,49.668999267116405,ultragardez,5728,1753466400
45,XS+,48.17316642847978,SebDark,10288,1755388800
46,XS+,47.52455909370591,YuSnipe,104,1755363600
47,XS+,47.09966732071611,PeLu 🌙,62,1745193600
48,XS+,47.019813419578085,Aaron,30492,1755363600
49,XS+,46.969316932804574,tody,27958,1753466400
50,XS+,45.96308997341388,Isabel T.J.,140,1755363600
51,XS+,45.700470176055106,kiki,13562,1755129600
52,XS+,45.596311977896505,blah blah BIG DEAL,25423,1755648000
53,XS+,45.05330142113863,Punchy,4603,1755363600
54,XS+,44.628291157446974,Bulba,22893,1755648000
55,XS+,44.458131727266235,penguin🐧,45677,1743289200
56,XS+,44.254539204642526,Nickk,370,1752944400
57,XS+,44.11451580318511,SnipeZ!,255,1752429600
58,XS+,43.589031120350526,PikminX,130,1749600000
59,XS+,43.3905995375442,Slurp,28193,1755363600
60,XS+,43.28640746526994,andrewohyeah,311,1745427600
61,XS+,43.176712853919376,Fantarrr,268,1755648000
62,XS+,43.120927890334926,Silver,22661,1753290000
63,XS+,42.11945325300961,Crowny,23597,1755363600
64,XS+,42.04244432107158,heieneslwjeoel,27632,1746662400
65,XS+,41.71619810803781,Leafi,100,1755363600
66,XS+,41.653825565173776,ReefluxFan,365,1752080400
67,XS+,41.48925197912988,moxx,489,1752192000
68,XS+,41.455070436782,Kaisa,198,1755129600
69,XS+,41.360254951104636,pulp,265,1753315200
70,XS+,41.054387810950054,nex,273,1751500800
71,XS+,40.611599595813594,Fishy,5028,1755363600
72,XS+,40.35390740659933,Nepia,272,1746291600
73,XS+,40.324790626623916,lucyfer,7485,1749837600
74,XS+,40.229603872996464,redshell1,44,1755129600
75,XS+,40.05989131019356,Grapeyy,157,1755363600
76,XS+,39.93205725151809,storm,12,1755388800
77,XS+,39.85011120567087,CMO♪,957,1755648000
78,XS+,39.20631589364581,DriftyToky0,65,1755129600
79,XS+,39.168934249351736,Argo,903,1753290000
80,XS+,39.10133005995809,Storm,199,1753138800
81,XS+,38.89547878321822,Blopwher,87,1753056000
82,XS+,38.840586945270495,Max,261,1743872400
83,XS+,38.689563774798486,Len. 🕷,10881,1755363600
84,XS+,38.649370457372065,ChinoReef,12129,1743789600
85,XS+,38.18096949586366,KITKAT,6710,1755648000
86,XS+,38.07046604222428,Ev⭆,316,1753056000
87,XS+,37.76412242470907,Stans,9689,1754524800
88,XS+,37.684283933476856,kayora,38062,1755363600
89,XS,0,lixi,220,1748044800
90,XS,0,zyf,366,1753056000
91,XS,0,Homengous,201,1753894800
92,XS,0,Argonaut,9843,1747958400
93,XS,0,kera,331,1755363600
94,XS,0,pou,9925,1755648000
95,XS,0,TommiEcho,173,1753466400
96,XS,0,bandit,229,1754438400
97,XS,0,Miner,31,1755363600
98,XS,0,🍭,34724,1753290000
99,XS,0,Jasmine,38572,1753894800
100,XS,0,IPS,150,1755363600
101,XS,0,peachy,23232,1751500800
102,XS,0,alwo,76,1755363600
103,XS,0,tommybot,86,1741374000
104,XS,0,Baké,35807,1753466400
105,XS,0,Trizy,276,1753290000
106,XS,0,Asta !,20143,1752256800
107,XS,0,Lucas,89,1755363600
108,XS,0,tobii,9034,1747180800
109,XS,0,Titally,321,1755363600
110,XS,0,Redmatt,249,1750611600
111,XS,0,SkoXay,1083,1752080400
112,XS,0,Kotaro,1227,1746057600
113,XS,0,Meiko,169,1752256800
114,XS,0,Caden,57,1752944400
115,XS,0,Shiny,74,1755363600
116,XS,0,Zima,38069,1747418400
117,XS,0,Aprhodite,28851,1752256800
118,XS,0,anger,151,1750608000
119,XS,0,Kiver,35,1743872400
120,XS,0,ξηяαğξJeff 🔥,11709,1746230400
121,XS,0,Puma,13370,1751500800
122,XS,0,Andhy,208,1755648000
123,XS,0,Luκαs,26,1744243200
124,XS,0,noam,13203,1755363600
125,XS,0,buns,294,1750266000
126,XS,0,ori_,9718,1753376400
127,XS,0,Treyshawn,11007,1753315200
128,XS,0,jelly,22945,1749427200
129,XS,0,Brian,212,1755363600
